"Time (ps)"	"Counts per bin"
0	11
10	8
20	9
30	9
40	9
50	5
60	11
70	7
80	12
90	14
100	13
110	7
120	11
130	6
140	7
150	11
160	13
170	7
180	16
190	11
200	7
210	13
220	6
230	9
240	4
250	6
260	11
270	5
280	11
290	7
300	13
310	7
320	15
330	6
340	12
350	12
360	9
370	13
380	12
390	10
400	13
410	5
420	6
430	11
440	11
450	10
460	15
470	9
480	11
490	5
500	11
510	16
520	7
530	6
540	12
550	10
560	11
570	9
580	9
590	15
600	15
610	14
620	13
630	23
640	20
650	18
660	10
670	9
680	8
690	14
700	12
710	26
720	29
730	16
740	22
750	24
760	17
770	21
780	13
790	30
800	29
810	27
820	30
830	37
840	40
850	44
860	50
870	52
880	36
890	46
900	59
910	69
920	51
930	76
940	61
950	92
960	87
970	92
980	100
990	95
1000	109
1010	112
1020	123
1030	130
1040	136
1050	122
1060	140
1070	153
1080	154
1090	155
1100	172
1110	184
1120	177
1130	172
1140	209
1150	221
1160	193
1170	227
1180	245
1190	233
1200	250
1210	267
1220	253
1230	276
1240	286
1250	264
1260	273
1270	312
1280	331
1290	314
1300	358
1310	400
1320	395
1330	428
1340	425
1350	419
1360	425
1370	492
1380	485
1390	479
1400	526
1410	520
1420	561
1430	567
1440	572
1450	618
1460	623
1470	653
1480	613
1490	647
1500	693
1510	709
1520	723
1530	681
1540	701
1550	700
1560	691
1570	773
1580	759
1590	744
1600	738
1610	766
1620	767
1630	808
1640	778
1650	804
1660	719
1670	816
1680	815
1690	839
1700	760
1710	751
1720	759
1730	849
1740	807
1750	757
1760	801
1770	814
1780	789
1790	786
1800	790
1810	771
1820	804
1830	787
1840	780
1850	804
1860	795
1870	794
1880	751
1890	769
1900	743
1910	768
1920	777
1930	770
1940	710
1950	732
1960	697
1970	750
1980	724
1990	750
2000	673
2010	690
2020	684
2030	673
2040	730
2050	693
2060	649
2070	662
2080	698
2090	662
2100	671
2110	651
2120	668
2130	618
2140	660
2150	628
2160	599
2170	610
2180	584
2190	604
2200	612
2210	566
2220	552
2230	573
2240	536
2250	563
2260	559
2270	548
2280	565
2290	505
2300	510
2310	546
2320	526
2330	496
2340	519
2350	483
2360	504
2370	461
2380	491
2390	478
2400	472
2410	494
2420	472
2430	424
2440	462
2450	447
2460	450
2470	430
2480	431
2490	413
2500	466
2510	366
2520	417
2530	399
2540	391
2550	368
2560	402
2570	394
2580	395
2590	372
2600	364
2610	345
2620	370
2630	375
2640	379
2650	383
2660	352
2670	357
2680	303
2690	328
2700	324
2710	315
2720	323
2730	299
2740	336
2750	341
2760	311
2770	295
2780	326
2790	293
2800	291
2810	283
2820	313
2830	271
2840	281
2850	279
2860	244
2870	282
2880	264
2890	248
2900	239
2910	243
2920	243
2930	240
2940	236
2950	222
2960	243
2970	240
2980	246
2990	202
3000	238
3010	231
3020	211
3030	243
3040	198
3050	191
3060	198
3070	194
3080	197
3090	183
3100	178
3110	181
3120	188
3130	166
3140	192
3150	170
3160	168
3170	167
3180	177
3190	167
3200	145
3210	160
3220	154
3230	167
3240	168
3250	152
3260	166
3270	141
3280	155
3290	152
3300	141
3310	141
3320	136
3330	147
3340	128
3350	165
3360	130
3370	132
3380	153
3390	142
3400	136
3410	130
3420	129
3430	136
3440	123
3450	128
3460	124
3470	134
3480	109
3490	114
3500	106
3510	124
3520	101
3530	103
3540	102
3550	108
3560	96
3570	127
3580	84
