HOM-co-polarization,,,HOM-cross-polarization,
Time delay(ns),Coincidence (a.u.),,Time delay(ns),Coincidence (a.u.)
-30.03,0.0074487895716946,,-30.03,0.0121722846441948
-30,0.00651769087523278,,-30,0.0121722846441948
-29.97,0.0074487895716946,,-29.97,0.0112359550561798
-29.94,0.00837988826815642,,-29.94,0.0112359550561798
-29.91,0.00651769087523278,,-29.91,0.00936329588014981
-29.88,0.0121042830540037,,-29.88,0.00749063670411985
-29.85,0.00931098696461825,,-29.85,0.00561797752808989
-29.82,0.00651769087523278,,-29.82,0.0112359550561798
-29.79,0.0102420856610801,,-29.79,0.00936329588014981
-29.76,0.0074487895716946,,-29.76,0.00936329588014981
-29.73,0.00931098696461825,,-29.73,0.00468164794007491
-29.7,0.00558659217877095,,-29.7,0.00842696629213483
-29.67,0.00837988826815642,,-29.67,0.0112359550561798
-29.64,0.0111731843575419,,-29.64,0.00561797752808989
-29.61,0.00837988826815642,,-29.61,0.0102996254681648
-29.58,0.0121042830540037,,-29.58,0.0121722846441948
-29.55,0.00651769087523278,,-29.55,0.0140449438202247
-29.52,0.0102420856610801,,-29.52,0.0131086142322097
-29.49,0.00651769087523278,,-29.49,0.0102996254681648
-29.46,0.0111731843575419,,-29.46,0.0149812734082397
-29.43,0.0102420856610801,,-29.43,0.0121722846441948
-29.4,0.0130353817504656,,-29.4,0.0121722846441948
-29.37,0.00931098696461825,,-29.37,0.00842696629213483
-29.34,0.0111731843575419,,-29.34,0.00468164794007491
-29.31,0.00931098696461825,,-29.31,0.00842696629213483
-29.28,0.00279329608938548,,-29.28,0.00842696629213483
-29.25,0.00465549348230913,,-29.25,0.00842696629213483
-29.22,0.00837988826815642,,-29.22,0.0149812734082397
-29.19,0.00837988826815642,,-29.19,0.0131086142322097
-29.16,0.00558659217877095,,-29.16,0.0168539325842697
-29.13,0.0176908752327747,,-29.13,0.00561797752808989
-29.1,0.0121042830540037,,-29.1,0.0140449438202247
-29.07,0.0074487895716946,,-29.07,0.00842696629213483
-29.04,0.00651769087523278,,-29.04,0.00842696629213483
-29.01,0.00837988826815642,,-29.01,0.0102996254681648
-28.98,0.0139664804469274,,-28.98,0.0121722846441948
-28.95,0.00279329608938548,,-28.95,0.0102996254681648
-28.92,0.0111731843575419,,-28.92,0.00842696629213483
-28.89,0.0074487895716946,,-28.89,0.00655430711610487
-28.86,0.0102420856610801,,-28.86,0.0102996254681648
-28.83,0.00186219739292365,,-28.83,0.0102996254681648
-28.8,0.00465549348230913,,-28.8,0.00842696629213483
-28.77,0.0111731843575419,,-28.77,0.0102996254681648
-28.74,0.00837988826815642,,-28.74,0.00749063670411985
-28.71,0.0074487895716946,,-28.71,0.00561797752808989
-28.68,0.0111731843575419,,-28.68,0.0121722846441948
