"Time differences (ps)"	"Counts per bin"
-5000000	13
-4999950	21
-4999900	11
-4999850	18
-4999800	26
-4999750	28
-4999700	26
-4999650	26
-4999600	17
-4999550	24
-4999500	35
-4999450	35
-4999400	28
-4999350	38
-4999300	46
-4999250	43
-4999200	51
-4999150	36
-4999100	61
-4999050	49
-4999000	66
-4998950	46
-4998900	40
-4998850	46
-4998800	45
-4998750	34
-4998700	40
-4998650	38
-4998600	38
-4998550	34
-4998500	34
-4998450	30
-4998400	26
-4998350	23
-4998300	29
-4998250	17
-4998200	19
-4998150	18
-4998100	22
-4998050	16
-4998000	18
-4997950	13
-4997900	12
-4997850	20
-4997800	16
-4997750	11
-4997700	12
-4997650	15
-4997600	7
-4997550	5
-4997500	7
-4997450	4
-4997400	2
-4997350	6
-4997300	8
-4997250	2
-4997200	2
-4997150	8
-4997100	3
-4997050	3
-4997000	5
-4996950	3
-4996900	3
-4996850	2
-4996800	3
-4996750	7
-4996700	1
-4996650	1
-4996600	1
-4996550	4
-4996500	0
-4996450	0
-4996400	0
-4996350	1
-4996300	0
-4996250	0
-4996200	2
-4996150	2
-4996100	6
-4996050	2
-4996000	0
-4995950	0
-4995900	2
-4995850	0
-4995800	1
-4995750	2
-4995700	2
-4995650	2
-4995600	2
-4995550	0
-4995500	2
-4995450	2
-4995400	1
-4995350	1
-4995300	2
-4995250	2
-4995200	2
-4995150	3
-4995100	3
-4995050	1
-4995000	1
-4994950	2
-4994900	0
-4994850	2
-4994800	0
-4994750	2
-4994700	1
-4994650	1
-4994600	1
-4994550	0
-4994500	2
-4994450	1
-4994400	3
-4994350	1
-4994300	2
-4994250	1
-4994200	2
-4994150	0
-4994100	2
-4994050	2
-4994000	5
-4993950	0
-4993900	1
-4993850	2
-4993800	0
-4993750	0
-4993700	1
-4993650	2
-4993600	1
-4993550	1
-4993500	2
-4993450	2
-4993400	3
-4993350	1
-4993300	0
-4993250	1
-4993200	1
-4993150	2
-4993100	1
-4993050	2
-4993000	3
-4992950	1
-4992900	6
-4992850	1
-4992800	2
-4992750	1
-4992700	1
-4992650	1
-4992600	1
-4992550	0
-4992500	1
-4992450	1
-4992400	1
-4992350	0
-4992300	1
-4992250	1
-4992200	1
-4992150	1
-4992100	1
-4992050	1
-4992000	1
-4991950	0
-4991900	2
-4991850	2
-4991800	2
-4991750	0
-4991700	0
-4991650	1
-4991600	1
-4991550	1
-4991500	1
-4991450	2
-4991400	0
-4991350	1
-4991300	1
-4991250	2
-4991200	2
-4991150	1
-4991100	0
-4991050	1
-4991000	0
-4990950	2
-4990900	2
-4990850	2
-4990800	0
-4990750	0
-4990700	1
-4990650	3
-4990600	1
-4990550	0
-4990500	1
-4990450	3
-4990400	1
-4990350	0
-4990300	0
-4990250	1
-4990200	1
-4990150	2
-4990100	2
-4990050	0
-4990000	2
-4989950	3
-4989900	2
-4989850	2
-4989800	3
-4989750	1
-4989700	1
-4989650	2
-4989600	0
-4989550	0
-4989500	2
-4989450	3
-4989400	4
-4989350	2
-4989300	2
